"alpha","boot_id","node","mag_index","effect_std_scale","effect_ate_scale","status"
"0.01",2,"belief_concern",32,0,0,"zero"
"0.01",2,"belief_concern",33,0,0,"zero"
"0.01",2,"belief_concern",34,0,0,"zero"
"0.01",2,"belief_concern",35,0,0,"zero"
"0.01",2,"belief_concern",36,0,0,"zero"
"0.01",2,"belief_concern",37,0,0,"zero"
"0.01",2,"belief_concern",38,0,0,"zero"
"0.01",2,"belief_concern",39,0,0,"zero"
"0.01",2,"belief_concern",40,0,0,"zero"
"0.01",2,"belief_concern",41,0,0,"zero"
"0.01",2,"belief_concern",42,0,0,"zero"
"0.01",2,"belief_concern",43,0,0,"zero"
"0.01",2,"belief_concern",44,0,0,"zero"
"0.01",2,"belief_concern",45,0,0,"zero"
"0.01",2,"belief_concern",46,0,0,"zero"
"0.01",2,"belief_concern",47,0,0,"zero"
"0.01",2,"belief_concern",48,0,0,"zero"
"0.01",2,"belief_concern",49,0,0,"zero"
"0.01",2,"belief_concern",50,0,0,"zero"
"0.01",2,"belief_concern",51,0,0,"zero"
"0.01",2,"belief_concern",52,0,0,"zero"
"0.01",2,"belief_concern",53,0,0,"zero"
"0.01",2,"belief_concern",54,0,0,"zero"
"0.01",2,"belief_concern",55,0,0,"zero"
"0.01",2,"belief_concern",56,0,0,"zero"
"0.01",2,"belief_concern",57,0,0,"zero"
"0.01",2,"belief_concern",58,0,0,"zero"
"0.01",2,"belief_concern",59,0,0,"zero"
"0.01",2,"belief_concern",60,0,0,"zero"
"0.01",2,"belief_concern",61,0,0,"zero"
"0.01",2,"belief_concern",62,0,0,"zero"
"0.01",2,"belief_concern",63,0,0,"zero"
"0.01",2,"belief_concern",64,0,0,"zero"
"0.01",2,"belief_concern",65,0,0,"zero"
"0.01",2,"belief_concern",66,0,0,"zero"
"0.01",2,"belief_concern",67,0,0,"zero"
"0.01",2,"belief_concern",68,0,0,"zero"
"0.01",2,"belief_concern",69,0,0,"zero"
"0.01",2,"belief_concern",70,0,0,"zero"
"0.01",2,"belief_concern",71,0,0,"zero"
"0.01",2,"belief_concern",72,0,0,"zero"
"0.01",2,"belief_concern",73,0,0,"zero"
"0.01",2,"belief_concern",74,0,0,"zero"
"0.01",2,"harm_present",1,NA,NA,"unidentified"
"0.01",2,"harm_present",2,NA,NA,"unidentified"
"0.01",2,"harm_present",3,0.432070752627347,0.216035376313673,"identified_positive"
"0.01",2,"harm_present",4,0,0,"zero"
"0.01",2,"harm_present",5,NA,NA,"unidentified"
"0.01",2,"harm_present",6,NA,NA,"unidentified"
"0.01",2,"harm_present",7,NA,NA,"unidentified"
"0.01",2,"harm_present",8,0,0,"zero"
"0.01",2,"harm_present",9,0,0,"zero"
"0.01",2,"harm_present",10,0,0,"zero"
"0.01",2,"harm_present",11,0,0,"zero"
"0.01",2,"harm_present",12,NA,NA,"unidentified"
"0.01",2,"harm_present",13,NA,NA,"unidentified"
"0.01",2,"harm_present",14,NA,NA,"unidentified"
"0.01",2,"harm_present",15,NA,NA,"unidentified"
"0.01",2,"harm_present",16,0,0,"zero"
"0.01",2,"harm_present",17,0,0,"zero"
"0.01",2,"harm_present",18,0,0,"zero"
"0.01",2,"harm_present",19,0,0,"zero"
"0.01",2,"harm_present",20,0,0,"zero"
"0.01",2,"harm_present",21,0,0,"zero"
"0.01",2,"harm_present",22,NA,NA,"unidentified"
"0.01",2,"harm_present",23,NA,NA,"unidentified"
"0.01",2,"harm_present",24,NA,NA,"unidentified"
"0.01",2,"harm_present",25,0,0,"zero"
"0.01",2,"harm_present",26,0,0,"zero"
"0.01",2,"harm_present",27,0,0,"zero"
"0.01",2,"harm_present",28,0,0,"zero"
"0.01",2,"harm_present",29,NA,NA,"unidentified"
"0.01",2,"harm_present",30,0,0,"zero"
"0.01",2,"harm_present",31,0.512871028500676,0.256435514250338,"identified_positive"
"0.01",2,"harm_present",32,NA,NA,"unidentified"
"0.01",2,"harm_present",33,NA,NA,"unidentified"
"0.01",2,"harm_present",34,NA,NA,"unidentified"
"0.01",2,"harm_present",35,NA,NA,"unidentified"
"0.01",2,"harm_present",36,NA,NA,"unidentified"
"0.01",2,"harm_present",37,0.512871028500676,0.256435514250338,"identified_positive"
"0.01",2,"harm_present",38,0.512871028500676,0.256435514250338,"identified_positive"
"0.01",2,"harm_present",39,0.512871028500676,0.256435514250338,"identified_positive"
"0.01",2,"harm_present",40,0.512871028500676,0.256435514250338,"identified_positive"
"0.01",2,"harm_present",41,NA,NA,"unidentified"
"0.01",2,"harm_present",42,NA,NA,"unidentified"
"0.01",2,"harm_present",43,NA,NA,"unidentified"
"0.01",2,"harm_present",44,NA,NA,"unidentified"
"0.01",2,"harm_present",45,0.43968674803074,0.21984337401537,"identified_positive"
"0.01",2,"harm_present",46,NA,NA,"unidentified"
"0.01",2,"harm_present",47,NA,NA,"unidentified"
"0.01",2,"harm_present",48,NA,NA,"unidentified"
"0.01",2,"harm_present",49,NA,NA,"unidentified"
"0.01",2,"harm_present",50,NA,NA,"unidentified"
"0.01",2,"harm_present",51,0.512871028500676,0.256435514250338,"identified_positive"
"0.01",2,"harm_present",52,0.512871028500676,0.256435514250338,"identified_positive"
"0.01",2,"harm_present",53,0.512871028500676,0.256435514250338,"identified_positive"
"0.01",2,"harm_present",54,0.512871028500676,0.256435514250338,"identified_positive"
"0.01",2,"harm_present",55,0.512871028500676,0.256435514250338,"identified_positive"
"0.01",2,"harm_present",56,NA,NA,"unidentified"
"0.01",2,"harm_present",57,NA,NA,"unidentified"
"0.01",2,"harm_present",58,NA,NA,"unidentified"
"0.01",2,"harm_present",59,NA,NA,"unidentified"
"0.01",2,"harm_present",60,NA,NA,"unidentified"
"0.01",2,"harm_present",61,0.43968674803074,0.21984337401537,"identified_positive"
"0.01",2,"harm_present",62,0.43968674803074,0.21984337401537,"identified_positive"
"0.01",2,"harm_present",63,NA,NA,"unidentified"
"0.01",2,"harm_present",64,NA,NA,"unidentified"
"0.01",2,"harm_present",65,0.512871028500676,0.256435514250338,"identified_positive"
"0.01",2,"harm_present",66,0.512871028500676,0.256435514250338,"identified_positive"
"0.01",2,"harm_present",67,NA,NA,"unidentified"
"0.01",2,"harm_present",68,NA,NA,"unidentified"
"0.01",2,"harm_present",69,0.43968674803074,0.21984337401537,"identified_positive"
"0.01",2,"harm_present",70,0.432070752627347,0.216035376313673,"identified_positive"
"0.01",2,"harm_present",71,0.432070752627347,0.216035376313673,"identified_positive"
"0.01",2,"harm_present",72,0.432070752627347,0.216035376313673,"identified_positive"
"0.01",2,"harm_present",73,0.432070752627347,0.216035376313673,"identified_positive"
"0.01",2,"harm_present",74,0.432070752627347,0.216035376313673,"identified_positive"
"0.01",2,"harm_future",1,0,0,"zero"
"0.01",2,"harm_future",2,0,0,"zero"
"0.01",2,"harm_future",3,NA,NA,"unidentified"
"0.01",2,"harm_future",4,0,0,"zero"
"0.01",2,"harm_future",5,0,0,"zero"
"0.01",2,"harm_future",6,0,0,"zero"
"0.01",2,"harm_future",7,0,0,"zero"
"0.01",2,"harm_future",8,0,0,"zero"
"0.01",2,"harm_future",9,0,0,"zero"
"0.01",2,"harm_future",10,0,0,"zero"
"0.01",2,"harm_future",11,0,0,"zero"
"0.01",2,"harm_future",12,0,0,"zero"
"0.01",2,"harm_future",13,0,0,"zero"
"0.01",2,"harm_future",14,0,0,"zero"
"0.01",2,"harm_future",15,0,0,"zero"
"0.01",2,"harm_future",16,0,0,"zero"
"0.01",2,"harm_future",17,0,0,"zero"
"0.01",2,"harm_future",18,0,0,"zero"
"0.01",2,"harm_future",19,0,0,"zero"
"0.01",2,"harm_future",20,0,0,"zero"
"0.01",2,"harm_future",21,0,0,"zero"
"0.01",2,"harm_future",22,0,0,"zero"
"0.01",2,"harm_future",23,0,0,"zero"
"0.01",2,"harm_future",24,0,0,"zero"
"0.01",2,"harm_future",25,0,0,"zero"
"0.01",2,"harm_future",26,0,0,"zero"
"0.01",2,"harm_future",27,0,0,"zero"
"0.01",2,"harm_future",28,0,0,"zero"
"0.01",2,"harm_future",29,0,0,"zero"
"0.01",2,"harm_future",30,0,0,"zero"
"0.01",2,"harm_future",31,0,0,"zero"
"0.01",2,"harm_future",32,0,0,"zero"
"0.01",2,"harm_future",33,0,0,"zero"
"0.01",2,"harm_future",34,0,0,"zero"
"0.01",2,"harm_future",35,0,0,"zero"
"0.01",2,"harm_future",36,0,0,"zero"
"0.01",2,"harm_future",37,0,0,"zero"
"0.01",2,"harm_future",38,0,0,"zero"
"0.01",2,"harm_future",39,0,0,"zero"
"0.01",2,"harm_future",40,0,0,"zero"
"0.01",2,"harm_future",41,0,0,"zero"
"0.01",2,"harm_future",42,0,0,"zero"
"0.01",2,"harm_future",43,0,0,"zero"
"0.01",2,"harm_future",44,0,0,"zero"
"0.01",2,"harm_future",45,0,0,"zero"
"0.01",2,"harm_future",46,0,0,"zero"
"0.01",2,"harm_future",47,0,0,"zero"
"0.01",2,"harm_future",48,0,0,"zero"
"0.01",2,"harm_future",49,0,0,"zero"
"0.01",2,"harm_future",50,0,0,"zero"
"0.01",2,"harm_future",51,0,0,"zero"
"0.01",2,"harm_future",52,0,0,"zero"
"0.01",2,"harm_future",53,0,0,"zero"
"0.01",2,"harm_future",54,0,0,"zero"
"0.01",2,"harm_future",55,0,0,"zero"
"0.01",2,"harm_future",56,0,0,"zero"
"0.01",2,"harm_future",57,0,0,"zero"
"0.01",2,"harm_future",58,0,0,"zero"
"0.01",2,"harm_future",59,0,0,"zero"
"0.01",2,"harm_future",60,0,0,"zero"
"0.01",2,"harm_future",61,0,0,"zero"
"0.01",2,"harm_future",62,0,0,"zero"
"0.01",2,"harm_future",63,0,0,"zero"
"0.01",2,"harm_future",64,0,0,"zero"
"0.01",2,"harm_future",65,0,0,"zero"
"0.01",2,"harm_future",66,0,0,"zero"
"0.01",2,"harm_future",67,0,0,"zero"
"0.01",2,"harm_future",68,0,0,"zero"
"0.01",2,"harm_future",69,0,0,"zero"
"0.01",2,"harm_future",70,NA,NA,"unidentified"
"0.01",2,"harm_future",71,NA,NA,"unidentified"
"0.01",2,"harm_future",72,NA,NA,"unidentified"
"0.01",2,"harm_future",73,NA,NA,"unidentified"
"0.01",2,"harm_future",74,NA,NA,"unidentified"
"0.01",2,"policy_support",1,0,0,"zero"
"0.01",2,"policy_support",2,0,0,"zero"
"0.01",2,"policy_support",3,0,0,"zero"
"0.01",2,"policy_support",4,0,0,"zero"
"0.01",2,"policy_support",5,0,0,"zero"
"0.01",2,"policy_support",6,0,0,"zero"
"0.01",2,"policy_support",7,0,0,"zero"
"0.01",2,"policy_support",8,0,0,"zero"
"0.01",2,"policy_support",9,0,0,"zero"
"0.01",2,"policy_support",10,0,0,"zero"
"0.01",2,"policy_support",11,0,0,"zero"
"0.01",2,"policy_support",12,0,0,"zero"
"0.01",2,"policy_support",13,0,0,"zero"
"0.01",2,"policy_support",14,0,0,"zero"
"0.01",2,"policy_support",15,0,0,"zero"
"0.01",2,"policy_support",16,0,0,"zero"
"0.01",2,"policy_support",17,0,0,"zero"
"0.01",2,"policy_support",18,0,0,"zero"
"0.01",2,"policy_support",19,0,0,"zero"
"0.01",2,"policy_support",20,0,0,"zero"
"0.01",2,"policy_support",21,0,0,"zero"
"0.01",2,"policy_support",22,0,0,"zero"
"0.01",2,"policy_support",23,0,0,"zero"
"0.01",2,"policy_support",24,0,0,"zero"
"0.01",2,"policy_support",25,0,0,"zero"
"0.01",2,"policy_support",26,0,0,"zero"
"0.01",2,"policy_support",27,0,0,"zero"
"0.01",2,"policy_support",28,0,0,"zero"
"0.01",2,"policy_support",29,0,0,"zero"
"0.01",2,"policy_support",30,0,0,"zero"
"0.01",2,"policy_support",31,0,0,"zero"
"0.01",2,"policy_support",32,0,0,"zero"
"0.01",2,"policy_support",33,0,0,"zero"
"0.01",2,"policy_support",34,0,0,"zero"
"0.01",2,"policy_support",35,0,0,"zero"
"0.01",2,"policy_support",36,0,0,"zero"
"0.01",2,"policy_support",37,0,0,"zero"
"0.01",2,"policy_support",38,0,0,"zero"
"0.01",2,"policy_support",39,0,0,"zero"
"0.01",2,"policy_support",40,0,0,"zero"
"0.01",2,"policy_support",41,0,0,"zero"
"0.01",2,"policy_support",42,0,0,"zero"
"0.01",2,"policy_support",43,0,0,"zero"
"0.01",2,"policy_support",44,0,0,"zero"
"0.01",2,"policy_support",45,0,0,"zero"
"0.01",2,"policy_support",46,0,0,"zero"
"0.01",2,"policy_support",47,0,0,"zero"
"0.01",2,"policy_support",48,0,0,"zero"
"0.01",2,"policy_support",49,0,0,"zero"
"0.01",2,"policy_support",50,0,0,"zero"
"0.01",2,"policy_support",51,0,0,"zero"
"0.01",2,"policy_support",52,0,0,"zero"
"0.01",2,"policy_support",53,0,0,"zero"
"0.01",2,"policy_support",54,0,0,"zero"
"0.01",2,"policy_support",55,0,0,"zero"
"0.01",2,"policy_support",56,0,0,"zero"
"0.01",2,"policy_support",57,0,0,"zero"
"0.01",2,"policy_support",58,0,0,"zero"
"0.01",2,"policy_support",59,0,0,"zero"
"0.01",2,"policy_support",60,0,0,"zero"
"0.01",2,"policy_support",61,0,0,"zero"
"0.01",2,"policy_support",62,0,0,"zero"
"0.01",2,"policy_support",63,0,0,"zero"
"0.01",2,"policy_support",64,0,0,"zero"
"0.01",2,"policy_support",65,0,0,"zero"
"0.01",2,"policy_support",66,0,0,"zero"
"0.01",2,"policy_support",67,0,0,"zero"
"0.01",2,"policy_support",68,0,0,"zero"
"0.01",2,"policy_support",69,0,0,"zero"
"0.01",2,"policy_support",70,0,0,"zero"
"0.01",2,"policy_support",71,0,0,"zero"
"0.01",2,"policy_support",72,0,0,"zero"
"0.01",2,"policy_support",73,0,0,"zero"
"0.01",2,"policy_support",74,0,0,"zero"
"0.01",2,"trust_science",1,0,0,"zero"
"0.01",2,"trust_science",2,0,0,"zero"
"0.01",2,"trust_science",3,0,0,"zero"
"0.01",2,"trust_science",4,0,0,"zero"
"0.01",2,"trust_science",5,0,0,"zero"
"0.01",2,"trust_science",6,0,0,"zero"
"0.01",2,"trust_science",7,0,0,"zero"
"0.01",2,"trust_science",8,0,0,"zero"
"0.01",2,"trust_science",9,0,0,"zero"
"0.01",2,"trust_science",10,0,0,"zero"
"0.01",2,"trust_science",11,0,0,"zero"
"0.01",2,"trust_science",12,0,0,"zero"
"0.01",2,"trust_science",13,0,0,"zero"
"0.01",2,"trust_science",14,0,0,"zero"
"0.01",2,"trust_science",15,0,0,"zero"
"0.01",2,"trust_science",16,0,0,"zero"
"0.01",2,"trust_science",17,0,0,"zero"
"0.01",2,"trust_science",18,0,0,"zero"
"0.01",2,"trust_science",19,0,0,"zero"
"0.01",2,"trust_science",20,0,0,"zero"
"0.01",2,"trust_science",21,0,0,"zero"
"0.01",2,"trust_science",22,0,0,"zero"
"0.01",2,"trust_science",23,0,0,"zero"
"0.01",2,"trust_science",24,0,0,"zero"
"0.01",2,"trust_science",25,0,0,"zero"
"0.01",2,"trust_science",26,0,0,"zero"
"0.01",2,"trust_science",27,0,0,"zero"
"0.01",2,"trust_science",28,0,0,"zero"
"0.01",2,"trust_science",29,0,0,"zero"
"0.01",2,"trust_science",30,0,0,"zero"
"0.01",2,"trust_science",31,0,0,"zero"
"0.01",2,"trust_science",32,0,0,"zero"
"0.01",2,"trust_science",33,0,0,"zero"
"0.01",2,"trust_science",34,0,0,"zero"
"0.01",2,"trust_science",35,0,0,"zero"
"0.01",2,"trust_science",36,0,0,"zero"
"0.01",2,"trust_science",37,0,0,"zero"
"0.01",2,"trust_science",38,0,0,"zero"
"0.01",2,"trust_science",39,0,0,"zero"
"0.01",2,"trust_science",40,0,0,"zero"
"0.01",2,"trust_science",41,0,0,"zero"
"0.01",2,"trust_science",42,0,0,"zero"
"0.01",2,"trust_science",43,0,0,"zero"
"0.01",2,"trust_science",44,0,0,"zero"
"0.01",2,"trust_science",45,0,0,"zero"
"0.01",2,"trust_science",46,0,0,"zero"
"0.01",2,"trust_science",47,0,0,"zero"
"0.01",2,"trust_science",48,0,0,"zero"
"0.01",2,"trust_science",49,0,0,"zero"
"0.01",2,"trust_science",50,0,0,"zero"
"0.01",2,"trust_science",51,0,0,"zero"
"0.01",2,"trust_science",52,0,0,"zero"
"0.01",2,"trust_science",53,0,0,"zero"
"0.01",2,"trust_science",54,0,0,"zero"
"0.01",2,"trust_science",55,0,0,"zero"
"0.01",2,"trust_science",56,0,0,"zero"
"0.01",2,"trust_science",57,0,0,"zero"
"0.01",2,"trust_science",58,0,0,"zero"
"0.01",2,"trust_science",59,0,0,"zero"
"0.01",2,"trust_science",60,0,0,"zero"
"0.01",2,"trust_science",61,0,0,"zero"
"0.01",2,"trust_science",62,0,0,"zero"
"0.01",2,"trust_science",63,0,0,"zero"
"0.01",2,"trust_science",64,0,0,"zero"
"0.01",2,"trust_science",65,0,0,"zero"
"0.01",2,"trust_science",66,0,0,"zero"
"0.01",2,"trust_science",67,0,0,"zero"
"0.01",2,"trust_science",68,0,0,"zero"
"0.01",2,"trust_science",69,0,0,"zero"
"0.01",2,"trust_science",70,0,0,"zero"
"0.01",2,"trust_science",71,0,0,"zero"
"0.01",2,"trust_science",72,0,0,"zero"
"0.01",2,"trust_science",73,0,0,"zero"
"0.01",2,"trust_science",74,0,0,"zero"
"0.01",2,"social_norms",1,0,0,"zero"
"0.01",2,"social_norms",2,0,0,"zero"
"0.01",2,"social_norms",3,0,0,"zero"
"0.01",2,"social_norms",4,0,0,"zero"
"0.01",2,"social_norms",5,0,0,"zero"
"0.01",2,"social_norms",6,0,0,"zero"
"0.01",2,"social_norms",7,0,0,"zero"
"0.01",2,"social_norms",8,0,0,"zero"
"0.01",2,"social_norms",9,0,0,"zero"
"0.01",2,"social_norms",10,0,0,"zero"
"0.01",2,"social_norms",11,0,0,"zero"
"0.01",2,"social_norms",12,0,0,"zero"
"0.01",2,"social_norms",13,0,0,"zero"
"0.01",2,"social_norms",14,0,0,"zero"
"0.01",2,"social_norms",15,0,0,"zero"
"0.01",2,"social_norms",16,0,0,"zero"
"0.01",2,"social_norms",17,0,0,"zero"
"0.01",2,"social_norms",18,0,0,"zero"
"0.01",2,"social_norms",19,0,0,"zero"
"0.01",2,"social_norms",20,0,0,"zero"
"0.01",2,"social_norms",21,0,0,"zero"
"0.01",2,"social_norms",22,0,0,"zero"
"0.01",2,"social_norms",23,0,0,"zero"
"0.01",2,"social_norms",24,0,0,"zero"
"0.01",2,"social_norms",25,0,0,"zero"
"0.01",2,"social_norms",26,0,0,"zero"
"0.01",2,"social_norms",27,0,0,"zero"
"0.01",2,"social_norms",28,0,0,"zero"
"0.01",2,"social_norms",29,0,0,"zero"
"0.01",2,"social_norms",30,0,0,"zero"
"0.01",2,"social_norms",31,0,0,"zero"
"0.01",2,"social_norms",32,0,0,"zero"
"0.01",2,"social_norms",33,0,0,"zero"
"0.01",2,"social_norms",34,0,0,"zero"
"0.01",2,"social_norms",35,0,0,"zero"
"0.01",2,"social_norms",36,0,0,"zero"
"0.01",2,"social_norms",37,0,0,"zero"
"0.01",2,"social_norms",38,0,0,"zero"
"0.01",2,"social_norms",39,0,0,"zero"
"0.01",2,"social_norms",40,0,0,"zero"
"0.01",2,"social_norms",41,0,0,"zero"
"0.01",2,"social_norms",42,0,0,"zero"
"0.01",2,"social_norms",43,0,0,"zero"
"0.01",2,"social_norms",44,0,0,"zero"
"0.01",2,"social_norms",45,0,0,"zero"
"0.01",2,"social_norms",46,0,0,"zero"
"0.01",2,"social_norms",47,0,0,"zero"
"0.01",2,"social_norms",48,0,0,"zero"
"0.01",2,"social_norms",49,0,0,"zero"
"0.01",2,"social_norms",50,0,0,"zero"
"0.01",2,"social_norms",51,0,0,"zero"
"0.01",2,"social_norms",52,0,0,"zero"
"0.01",2,"social_norms",53,0,0,"zero"
"0.01",2,"social_norms",54,0,0,"zero"
"0.01",2,"social_norms",55,0,0,"zero"
"0.01",2,"social_norms",56,0,0,"zero"
"0.01",2,"social_norms",57,0,0,"zero"
"0.01",2,"social_norms",58,0,0,"zero"
"0.01",2,"social_norms",59,0,0,"zero"
"0.01",2,"social_norms",60,0,0,"zero"
"0.01",2,"social_norms",61,0,0,"zero"
"0.01",2,"social_norms",62,0,0,"zero"
"0.01",2,"social_norms",63,0,0,"zero"
"0.01",2,"social_norms",64,0,0,"zero"
"0.01",2,"social_norms",65,0,0,"zero"
"0.01",2,"social_norms",66,0,0,"zero"
"0.01",2,"social_norms",67,0,0,"zero"
"0.01",2,"social_norms",68,0,0,"zero"
"0.01",2,"social_norms",69,0,0,"zero"
"0.01",2,"social_norms",70,0,0,"zero"
"0.01",2,"social_norms",71,0,0,"zero"
"0.01",2,"social_norms",72,0,0,"zero"
"0.01",2,"social_norms",73,0,0,"zero"
"0.01",2,"social_norms",74,0,0,"zero"
"0.01",2,"politics",1,0,0,"zero"
"0.01",2,"politics",2,0,0,"zero"
"0.01",2,"politics",3,0,0,"zero"
"0.01",2,"politics",4,0,0,"zero"
"0.01",2,"politics",5,0,0,"zero"
"0.01",2,"politics",6,0,0,"zero"
"0.01",2,"politics",7,0,0,"zero"
"0.01",2,"politics",8,0,0,"zero"
"0.01",2,"politics",9,0,0,"zero"
"0.01",2,"politics",10,0,0,"zero"
"0.01",2,"politics",11,0,0,"zero"
"0.01",2,"politics",12,0,0,"zero"
"0.01",2,"politics",13,0,0,"zero"
"0.01",2,"politics",14,0,0,"zero"
"0.01",2,"politics",15,0,0,"zero"
"0.01",2,"politics",16,0,0,"zero"
"0.01",2,"politics",17,0,0,"zero"
"0.01",2,"politics",18,0,0,"zero"
"0.01",2,"politics",19,0,0,"zero"
"0.01",2,"politics",20,0,0,"zero"
"0.01",2,"politics",21,0,0,"zero"
"0.01",2,"politics",22,0,0,"zero"
"0.01",2,"politics",23,0,0,"zero"
"0.01",2,"politics",24,0,0,"zero"
"0.01",2,"politics",25,0,0,"zero"
"0.01",2,"politics",26,0,0,"zero"
"0.01",2,"politics",27,0,0,"zero"
"0.01",2,"politics",28,0,0,"zero"
"0.01",2,"politics",29,0,0,"zero"
"0.01",2,"politics",30,0,0,"zero"
"0.01",2,"politics",31,0,0,"zero"
"0.01",2,"politics",32,0,0,"zero"
"0.01",2,"politics",33,0,0,"zero"
"0.01",2,"politics",34,0,0,"zero"
"0.01",2,"politics",35,0,0,"zero"
"0.01",2,"politics",36,0,0,"zero"
"0.01",2,"politics",37,0,0,"zero"
"0.01",2,"politics",38,0,0,"zero"
"0.01",2,"politics",39,0,0,"zero"
"0.01",2,"politics",40,0,0,"zero"
"0.01",2,"politics",41,0,0,"zero"
"0.01",2,"politics",42,0,0,"zero"
"0.01",2,"politics",43,0,0,"zero"
"0.01",2,"politics",44,0,0,"zero"
"0.01",2,"politics",45,0,0,"zero"
"0.01",2,"politics",46,0,0,"zero"
"0.01",2,"politics",47,0,0,"zero"
"0.01",2,"politics",48,0,0,"zero"
"0.01",2,"politics",49,0,0,"zero"
"0.01",2,"politics",50,0,0,"zero"
"0.01",2,"politics",51,0,0,"zero"
"0.01",2,"politics",52,0,0,"zero"
"0.01",2,"politics",53,0,0,"zero"
"0.01",2,"politics",54,0,0,"zero"
"0.01",2,"politics",55,0,0,"zero"
"0.01",2,"politics",56,0,0,"zero"
"0.01",2,"politics",57,0,0,"zero"
"0.01",2,"politics",58,0,0,"zero"
"0.01",2,"politics",59,0,0,"zero"
"0.01",2,"politics",60,0,0,"zero"
"0.01",2,"politics",61,0,0,"zero"
"0.01",2,"politics",62,0,0,"zero"
"0.01",2,"politics",63,0,0,"zero"
"0.01",2,"politics",64,0,0,"zero"
"0.01",2,"politics",65,0,0,"zero"
"0.01",2,"politics",66,0,0,"zero"
"0.01",2,"politics",67,0,0,"zero"
"0.01",2,"politics",68,0,0,"zero"
"0.01",2,"politics",69,0,0,"zero"
"0.01",2,"politics",70,0,0,"zero"
"0.01",2,"politics",71,0,0,"zero"
"0.01",2,"politics",72,0,0,"zero"
"0.01",2,"politics",73,0,0,"zero"
"0.01",2,"politics",74,0,0,"zero"
"0.01",2,"weather_risk_prep",1,NA,NA,"unidentified"
"0.01",2,"weather_risk_prep",2,NA,NA,"unidentified"
"0.01",2,"weather_risk_prep",3,NA,NA,"unidentified"
"0.01",2,"weather_risk_prep",4,NA,NA,"unidentified"
"0.01",2,"weather_risk_prep",5,NA,NA,"unidentified"
"0.01",2,"weather_risk_prep",6,NA,NA,"unidentified"
"0.01",2,"weather_risk_prep",7,NA,NA,"unidentified"
"0.01",2,"weather_risk_prep",8,NA,NA,"unidentified"
"0.01",2,"weather_risk_prep",9,NA,NA,"unidentified"
"0.01",2,"weather_risk_prep",10,NA,NA,"unidentified"
"0.01",2,"weather_risk_prep",11,0,0,"zero"
"0.01",2,"weather_risk_prep",12,NA,NA,"unidentified"
"0.01",2,"weather_risk_prep",13,NA,NA,"unidentified"
"0.01",2,"weather_risk_prep",14,NA,NA,"unidentified"
"0.01",2,"weather_risk_prep",15,0,0,"zero"
"0.01",2,"weather_risk_prep",16,NA,NA,"unidentified"
"0.01",2,"weather_risk_prep",17,NA,NA,"unidentified"
"0.01",2,"weather_risk_prep",18,0,0,"zero"
"0.01",2,"weather_risk_prep",19,NA,NA,"unidentified"
"0.01",2,"weather_risk_prep",20,0,0,"zero"
"0.01",2,"weather_risk_prep",21,0,0,"zero"
"0.01",2,"weather_risk_prep",22,NA,NA,"unidentified"
"0.01",2,"weather_risk_prep",23,0,0,"zero"
"0.01",2,"weather_risk_prep",24,0,0,"zero"
"0.01",2,"weather_risk_prep",25,NA,NA,"unidentified"
"0.01",2,"weather_risk_prep",26,0,0,"zero"
"0.01",2,"weather_risk_prep",27,0,0,"zero"
"0.01",2,"weather_risk_prep",28,0,0,"zero"
