"alpha","node","mag_index","effect_std_scale","effect_ate_scale","status"
"0.01","harm_future",11,NA,NA,"unidentified"
"0.01","harm_future",12,0,0,"zero"
"0.01","harm_future",13,0,0,"zero"
"0.01","harm_future",14,0,0,"zero"
"0.01","harm_future",15,0,0,"zero"
"0.01","harm_future",16,0,0,"zero"
"0.01","harm_future",17,0,0,"zero"
"0.01","harm_future",18,0,0,"zero"
"0.01","harm_future",19,0,0,"zero"
"0.01","harm_future",20,0,0,"zero"
"0.01","harm_future",21,0,0,"zero"
"0.01","harm_future",22,0,0,"zero"
"0.01","harm_future",23,0,0,"zero"
"0.01","harm_future",24,0,0,"zero"
"0.01","harm_future",25,0,0,"zero"
"0.01","harm_future",26,0,0,"zero"
"0.01","harm_future",27,0,0,"zero"
"0.01","harm_future",28,0,0,"zero"
"0.01","harm_future",29,0,0,"zero"
"0.01","harm_future",30,0,0,"zero"
"0.01","policy_support",1,0,0,"zero"
"0.01","policy_support",2,0,0,"zero"
"0.01","policy_support",3,0,0,"zero"
"0.01","policy_support",4,0,0,"zero"
"0.01","policy_support",5,0,0,"zero"
"0.01","policy_support",6,0,0,"zero"
"0.01","policy_support",7,0,0,"zero"
"0.01","policy_support",8,0,0,"zero"
"0.01","policy_support",9,0,0,"zero"
"0.01","policy_support",10,0,0,"zero"
"0.01","policy_support",11,0,0,"zero"
"0.01","policy_support",12,0,0,"zero"
"0.01","policy_support",13,0,0,"zero"
"0.01","policy_support",14,0,0,"zero"
"0.01","policy_support",15,0,0,"zero"
"0.01","policy_support",16,0,0,"zero"
"0.01","policy_support",17,0,0,"zero"
"0.01","policy_support",18,0,0,"zero"
"0.01","policy_support",19,0,0,"zero"
"0.01","policy_support",20,0,0,"zero"
"0.01","policy_support",21,0,0,"zero"
"0.01","policy_support",22,0,0,"zero"
"0.01","policy_support",23,0,0,"zero"
"0.01","policy_support",24,0,0,"zero"
"0.01","policy_support",25,0,0,"zero"
"0.01","policy_support",26,0,0,"zero"
"0.01","policy_support",27,0,0,"zero"
"0.01","policy_support",28,0,0,"zero"
"0.01","policy_support",29,0,0,"zero"
"0.01","policy_support",30,0,0,"zero"
"0.01","trust_science",1,0,0,"zero"
"0.01","trust_science",2,0,0,"zero"
"0.01","trust_science",3,0,0,"zero"
"0.01","trust_science",4,0,0,"zero"
"0.01","trust_science",5,0,0,"zero"
"0.01","trust_science",6,0,0,"zero"
"0.01","trust_science",7,0,0,"zero"
"0.01","trust_science",8,0,0,"zero"
"0.01","trust_science",9,0,0,"zero"
"0.01","trust_science",10,0,0,"zero"
"0.01","trust_science",11,0,0,"zero"
"0.01","trust_science",12,0,0,"zero"
"0.01","trust_science",13,0,0,"zero"
"0.01","trust_science",14,0,0,"zero"
"0.01","trust_science",15,0,0,"zero"
"0.01","trust_science",16,0,0,"zero"
"0.01","trust_science",17,0,0,"zero"
"0.01","trust_science",18,0,0,"zero"
"0.01","trust_science",19,0,0,"zero"
"0.01","trust_science",20,0,0,"zero"
"0.01","trust_science",21,0,0,"zero"
"0.01","trust_science",22,0,0,"zero"
"0.01","trust_science",23,0,0,"zero"
"0.01","trust_science",24,0,0,"zero"
"0.01","trust_science",25,0,0,"zero"
"0.01","trust_science",26,0,0,"zero"
"0.01","trust_science",27,0,0,"zero"
"0.01","trust_science",28,0,0,"zero"
"0.01","trust_science",29,0,0,"zero"
"0.01","trust_science",30,0,0,"zero"
"0.01","social_norms",1,0,0,"zero"
"0.01","social_norms",2,0,0,"zero"
"0.01","social_norms",3,0,0,"zero"
"0.01","social_norms",4,0,0,"zero"
"0.01","social_norms",5,0,0,"zero"
"0.01","social_norms",6,0,0,"zero"
"0.01","social_norms",7,0,0,"zero"
"0.01","social_norms",8,0,0,"zero"
"0.01","social_norms",9,0,0,"zero"
"0.01","social_norms",10,0,0,"zero"
"0.01","social_norms",11,0,0,"zero"
"0.01","social_norms",12,0,0,"zero"
"0.01","social_norms",13,0,0,"zero"
"0.01","social_norms",14,0,0,"zero"
"0.01","social_norms",15,0,0,"zero"
"0.01","social_norms",16,0,0,"zero"
"0.01","social_norms",17,0,0,"zero"
"0.01","social_norms",18,0,0,"zero"
"0.01","social_norms",19,0,0,"zero"
"0.01","social_norms",20,0,0,"zero"
"0.01","social_norms",21,0,0,"zero"
"0.01","social_norms",22,0,0,"zero"
"0.01","social_norms",23,0,0,"zero"
"0.01","social_norms",24,0,0,"zero"
"0.01","social_norms",25,0,0,"zero"
"0.01","social_norms",26,0,0,"zero"
"0.01","social_norms",27,0,0,"zero"
"0.01","social_norms",28,0,0,"zero"
"0.01","social_norms",29,0,0,"zero"
"0.01","social_norms",30,0,0,"zero"
"0.01","politics",1,0,0,"zero"
"0.01","politics",2,0,0,"zero"
"0.01","politics",3,0,0,"zero"
"0.01","politics",4,0,0,"zero"
"0.01","politics",5,0,0,"zero"
"0.01","politics",6,0,0,"zero"
"0.01","politics",7,0,0,"zero"
"0.01","politics",8,0,0,"zero"
"0.01","politics",9,0,0,"zero"
"0.01","politics",10,0,0,"zero"
"0.01","politics",11,0,0,"zero"
"0.01","politics",12,0,0,"zero"
"0.01","politics",13,0,0,"zero"
"0.01","politics",14,0,0,"zero"
"0.01","politics",15,0,0,"zero"
"0.01","politics",16,0,0,"zero"
"0.01","politics",17,0,0,"zero"
"0.01","politics",18,0,0,"zero"
"0.01","politics",19,0,0,"zero"
"0.01","politics",20,0,0,"zero"
"0.01","politics",21,0,0,"zero"
"0.01","politics",22,0,0,"zero"
"0.01","politics",23,0,0,"zero"
"0.01","politics",24,0,0,"zero"
"0.01","politics",25,0,0,"zero"
"0.01","politics",26,0,0,"zero"
"0.01","politics",27,0,0,"zero"
"0.01","politics",28,0,0,"zero"
"0.01","politics",29,0,0,"zero"
"0.01","politics",30,0,0,"zero"
"0.01","weather_risk_prep",1,0,0,"zero"
"0.01","weather_risk_prep",2,0,0,"zero"
"0.01","weather_risk_prep",3,0,0,"zero"
"0.01","weather_risk_prep",4,0,0,"zero"
"0.01","weather_risk_prep",5,0,0,"zero"
"0.01","weather_risk_prep",6,0,0,"zero"
"0.01","weather_risk_prep",7,0,0,"zero"
"0.01","weather_risk_prep",8,0,0,"zero"
"0.01","weather_risk_prep",9,0,0,"zero"
"0.01","weather_risk_prep",10,0,0,"zero"
"0.01","weather_risk_prep",11,0,0,"zero"
"0.01","weather_risk_prep",12,0,0,"zero"
"0.01","weather_risk_prep",13,0,0,"zero"
"0.01","weather_risk_prep",14,0,0,"zero"
"0.01","weather_risk_prep",15,0,0,"zero"
"0.01","weather_risk_prep",16,0,0,"zero"
"0.01","weather_risk_prep",17,0,0,"zero"
"0.01","weather_risk_prep",18,0,0,"zero"
"0.01","weather_risk_prep",19,0,0,"zero"
"0.01","weather_risk_prep",20,0,0,"zero"
"0.01","weather_risk_prep",21,0,0,"zero"
"0.01","weather_risk_prep",22,0,0,"zero"
"0.01","weather_risk_prep",23,0,0,"zero"
"0.01","weather_risk_prep",24,0,0,"zero"
"0.01","weather_risk_prep",25,0,0,"zero"
"0.01","weather_risk_prep",26,0,0,"zero"
"0.01","weather_risk_prep",27,0,0,"zero"
"0.01","weather_risk_prep",28,0,0,"zero"
"0.01","weather_risk_prep",29,0,0,"zero"
"0.01","weather_risk_prep",30,0,0,"zero"
