"spec","node","ate_climate_behavior"
"confound_1of8_trust_science_social_norms","trust_science",0.0171046551066792
"confound_1of8_trust_science_social_norms","policy_support",0.0351382651056508
"confound_1of8_trust_science_social_norms","politics",0.109730555644391
"confound_1of8_harm_present_weather_risk_prep","belief_concern",0.206623251511002
"confound_1of8_harm_present_weather_risk_prep","harm_present",0.155354885274597
"confound_1of8_harm_present_weather_risk_prep","harm_future",0.102684353251575
"confound_1of8_harm_present_weather_risk_prep","weather_risk_prep",0.0931096629985981
"confound_1of8_harm_present_weather_risk_prep","social_norms",0.0572702993346699
"confound_1of8_harm_present_weather_risk_prep","trust_science",0.0343046629161073
"confound_1of8_harm_present_weather_risk_prep","policy_support",0.0162531896599099
"confound_1of8_harm_present_weather_risk_prep","politics",0.111314104998933
"confound_1of8_belief_concern_weather_risk_prep","belief_concern",0.197435599127042
"confound_1of8_belief_concern_weather_risk_prep","harm_present",0.197559060790539
"confound_1of8_belief_concern_weather_risk_prep","harm_future",0.133755117596628
"confound_1of8_belief_concern_weather_risk_prep","weather_risk_prep",0.0929443333474068
"confound_1of8_belief_concern_weather_risk_prep","social_norms",0.0570529576790728
"confound_1of8_belief_concern_weather_risk_prep","trust_science",0.0341691252413373
"confound_1of8_belief_concern_weather_risk_prep","policy_support",0.0161884927070767
"confound_1of8_belief_concern_weather_risk_prep","politics",0.106282980203115
"confound_1of8_social_norms_climate_behavior","belief_concern",0.199543134005375
"confound_1of8_social_norms_climate_behavior","harm_present",0.226402234241411
"confound_1of8_social_norms_climate_behavior","harm_future",0.143949172843746
"confound_1of8_social_norms_climate_behavior","weather_risk_prep",0.0931409865195775
"confound_1of8_social_norms_climate_behavior","social_norms",0
"confound_1of8_social_norms_climate_behavior","trust_science",0
"confound_1of8_social_norms_climate_behavior","policy_support",0
"confound_1of8_social_norms_climate_behavior","politics",0.105723776226288
"confound_1of8_weather_risk_prep_climate_behavior","belief_concern",0.20288634143328
"confound_1of8_weather_risk_prep_climate_behavior","harm_present",0.202769185728658
"confound_1of8_weather_risk_prep_climate_behavior","harm_future",0.137337561827742
"confound_1of8_weather_risk_prep_climate_behavior","weather_risk_prep",0
"confound_1of8_weather_risk_prep_climate_behavior","social_norms",0.0589109727856879
"confound_1of8_weather_risk_prep_climate_behavior","trust_science",0.0352874199767899
"confound_1of8_weather_risk_prep_climate_behavior","policy_support",0.0167188107311471
"confound_1of8_weather_risk_prep_climate_behavior","politics",0.109386870268915
"confound_all8","belief_concern",0.0504265185729213
"confound_all8","harm_present",0.172072448062162
"confound_all8","harm_future",0.107118658436483
"confound_all8","weather_risk_prep",0
"confound_all8","social_norms",0
"confound_all8","trust_science",0
"confound_all8","policy_support",0
"confound_all8","politics",0.00736161384874078
"reverse_harmfuture_harmpresent","belief_concern",0.205910269493508
"reverse_harmfuture_harmpresent","harm_present",0.199660429440765
"reverse_harmfuture_harmpresent","harm_future",0.00815198145018521
"reverse_harmfuture_harmpresent","weather_risk_prep",0.0927883702055832
"reverse_harmfuture_harmpresent","social_norms",0.0570726895817319
"reverse_harmfuture_harmpresent","trust_science",0.0341862949302948
"reverse_harmfuture_harmpresent","policy_support",0.0161971092740783
"reverse_harmfuture_harmpresent","politics",0.110930007399046
"drop_harmfuture_trustscience","belief_concern",0.206133015661338
"drop_harmfuture_trustscience","harm_present",0.195303212749647
"drop_harmfuture_trustscience","harm_future",0.124176055400577
"drop_harmfuture_trustscience","weather_risk_prep",0.092888745256975
"drop_harmfuture_trustscience","social_norms",0.057134428721423
"drop_harmfuture_trustscience","trust_science",0.0342232764087163
"drop_harmfuture_trustscience","policy_support",0.0162146307120795
"drop_harmfuture_trustscience","politics",0.111050007407333
